timestamp,device_id,appliance,room,voltage_V,current_A,power_W,energy_kWh_interval,cumulative_energy_kWh,tariff_Rp_per_kWh,cost_Rp_interval,hour,weekday,is_weekend,season,is_on,anomaly_flag,pred_next_kwh,rolling_24h_kwh_device
2025-07-01 00:00:00,SEMB-0067,Washing Machine,Laundry,215.15,0.002,0.34,0.000172,0.000172,1500,0.26,0,1,0,3,0,0,0.000158,0.000172
2025-07-01 00:30:00,SEMB-0097,AC,Living Room,219.14,0.002,0.53,0.000266,0.000266,1500,0.4,0,1,0,3,0,0,0.000307,0.000266
2025-07-01 01:00:00,SEMB-0100,LED Lamp,Bedroom,221.48,0.039,8.58,0.004292,0.004292,1352,5.8,1,1,0,3,1,0,0.003962,0.004292
2025-07-01 01:30:00,SEMB-0016,LED Lamp,Bedroom,221.42,0.043,9.45,0.004726,0.004726,1702,8.04,1,1,0,3,1,0,0.004608,0.004726
2025-07-01 02:00:00,SEMB-0044,PC,Study,222.87,0.839,186.96,0.093481,0.093481,1352,126.39,2,1,0,3,1,0,0.09369,0.093481
2025-07-01 02:30:00,SEMB-0087,TV,Living Room,219.82,0.001,0.27,0.000134,0.000134,1352,0.18,2,1,0,3,0,0,0.000142,0.000134
2025-07-01 03:00:00,SEMB-0010,Microwave,Kitchen,217.03,0.002,0.52,0.00026,0.00026,1702,0.44,3,1,0,3,0,0,0.000312,0.00026
2025-07-01 03:30:00,SEMB-0017,PC,Study,219.94,0.003,0.7,0.000348,0.000348,1500,0.52,3,1,0,3,0,0,0.000371,0.000348
2025-07-01 04:00:00,SEMB-0084,LED Lamp,Bedroom,219.87,0.002,0.4,0.000199,0.000199,1702,0.34,4,1,0,3,0,0,0.0002,0.000199
2025-07-01 04:30:00,SEMB-0064,LED Lamp,Bedroom,219.69,0.049,10.79,0.005394,0.005394,1702,9.18,4,1,0,3,1,0,0.004902,0.005394
2025-07-01 05:00:00,SEMB-0079,Water Heater,Bathroom,218.77,7.51,1643.07,0.821534,0.821534,1500,1232.3,5,1,0,3,1,0,0.938798,0.821534
2025-07-01 05:30:00,SEMB-0042,Charger,Anywhere,218.18,0.003,0.58,0.000289,0.000289,1352,0.39,5,1,0,3,0,0,0.000346,0.000289
2025-07-01 06:00:00,SEMB-0047,Fan,Bedroom,221.09,0.003,0.72,0.000358,0.000358,1500,0.54,6,1,0,3,0,0,0.00039,0.000358
2025-07-01 06:30:00,SEMB-0059,Microwave,Kitchen,216.48,0.0,0.07,3.3e-05,3.3e-05,1702,0.06,6,1,0,3,0,0,3.8e-05,3.3e-05
2025-07-01 07:00:00,SEMB-0088,LED Lamp,Bedroom,222.31,0.044,9.75,0.004875,0.004875,1500,7.31,7,1,0,3,1,0,0.005569,0.004875
2025-07-01 07:30:00,SEMB-0092,Microwave,Kitchen,213.6,0.001,0.19,9.5e-05,9.5e-05,1500,0.14,7,1,0,3,0,0,9.7e-05,9.5e-05
2025-07-01 08:00:00,SEMB-0026,TV,Living Room,220.43,0.541,119.19,0.059594,0.059594,1352,80.57,8,1,0,3,1,0,0.056442,0.059594
2025-07-01 08:30:00,SEMB-0022,Fan,Bedroom,221.94,0.253,56.15,0.028074,0.028074,1352,37.96,8,1,0,3,1,0,0.026432,0.028074
2025-07-01 09:00:00,SEMB-0015,Microwave,Kitchen,219.72,0.004,0.81,0.000404,0.000404,1500,0.61,9,1,0,3,0,0,0.000477,0.000404
2025-07-01 09:30:00,SEMB-0005,PC,Study,222.72,0.004,0.83,0.000416,0.000416,1500,0.62,9,1,0,3,0,0,0.000459,0.000416
2025-07-01 10:00:00,SEMB-0053,Refrigerator,Kitchen,220.25,0.003,0.75,0.000376,0.000376,1702,0.64,10,1,0,3,0,0,0.000372,0.000376
2025-07-01 10:30:00,SEMB-0079,TV,Living Room,218.73,0.536,117.33,0.058666,0.880199,1500,88.0,10,1,0,3,1,0,0.061265,0.8802
2025-07-01 11:00:00,SEMB-0082,PC,Study,220.35,0.001,0.24,0.000118,0.000118,1702,0.2,11,1,0,3,0,0,0.00011,0.000118
2025-07-01 11:30:00,SEMB-0097,Washing Machine,Laundry,219.94,0.001,0.24,0.000121,0.000387,1352,0.16,11,1,0,3,0,0,0.000138,0.00038700000000000003
2025-07-01 12:00:00,SEMB-0007,LED Lamp,Bedroom,224.4,0.038,8.52,0.004258,0.004258,1702,7.25,12,1,0,3,1,0,0.004312,0.004258
2025-07-01 12:30:00,SEMB-0053,TV,Living Room,221.38,0.004,0.8,0.000399,0.000775,1352,0.54,12,1,0,3,0,0,0.000413,0.000775
2025-07-01 13:00:00,SEMB-0033,TV,Living Room,220.69,0.004,0.91,0.000457,0.000457,1500,0.68,13,1,0,3,0,0,0.000488,0.000457
